run (N), input-size (bytes), ops (bytes/ms), time (ms)
1, 1, 83.38, 0.011993283761093787
3, 2, 213.42, 0.0093711929528629
5, 3, 352.29, 0.008515711487694796
7, 4, 464.6, 0.008609556607834697
8, 5, 532.9, 0.009382623381497467
9, 6, 722.94, 0.008299443937256203
10, 7, 1003.45, 0.006975933031042902
11, 9, 1295.19, 0.006948787436592315
12, 11, 1598.3, 0.006882312456985547
13, 14, 2019.5, 0.006932409012131715
14, 17, 2484.21, 0.006843221788818176
15, 21, 2399.25, 0.0087527352297593
16, 25, 2897.25, 0.008628872206402623
17, 31, 4415.33, 0.007020992768377449
18, 38, 5353.82, 0.007097735822272695
19, 46, 6471.28, 0.0071083309638896785
20, 56, 7852.88, 0.007131141695785495
21, 69, 8144.76, 0.008471704506946797
22, 84, 10132.08, 0.0082904990880451
23, 103, 12334.25, 0.008350730688935281
24, 126, 14983.92, 0.008409014463504878
25, 154, 16040.64, 0.009600614439324117
26, 188, 19576.44, 0.009603380389897245
27, 230, 21065.7, 0.010918222513374822
28, 282, 23225.52, 0.012141816415735794
29, 345, 25916.4, 0.013312034078807242
30, 422, 28729.76, 0.014688601645123384
31, 516, 29773.2, 0.01733102253032929
32, 631, 33335.73, 0.01892863903085368
33, 772, 34199.6, 0.022573363431151242
34, 944, 36948.16, 0.025549310168625446
35, 1155, 38565.45, 0.02994908655286014
36, 1413, 33007.68, 0.04280821917808219
37, 1728, 42595.2, 0.04056795131845842
38, 2113, 43147.46, 0.04897159647404505
39, 2585, 42368.15, 0.06101281269066504
40, 3162, 45216.6, 0.06993006993006994
41, 3868, 45835.8, 0.08438818565400844
42, 4732, 46562.88, 0.1016260162601626
43, 5788, 46651.28, 0.12406947890818859
44, 7079, 47146.14, 0.15015015015015015
45, 8660, 47023.8, 0.1841620626151013
46, 10593, 46715.13, 0.22675736961451248
47, 12957, 46515.63, 0.2785515320334262
48, 15849, 46596.06, 0.3401360544217687
49, 19387, 45171.71, 0.4291845493562232
50, 23714, 46005.16, 0.5154639175257731
51, 29007, 45540.99, 0.6369426751592356
52, 35481, 45060.87, 0.7874015748031497
53, 43401, 44269.02, 0.9803921568627451
54, 53088, 43532.16, 1.2195121951219512
55, 64938, 45006.53465346534, 1.4428571428571428
56, 79433, 44828.52475247525, 1.7719298245614035
57, 97163, 45214.46534653466, 2.148936170212766
58, 118850, 44715.841584158414, 2.6578947368421053
59, 145378, 45165.98058252427, 3.21875
60, 177828, 45328.705882352944, 3.923076923076923
61, 217520, 44783.529411764706, 4.857142857142857
62, 266073, 44784.56435643564, 5.9411764705882355
63, 325462, 45564.68, 7.142857142857143
64, 398107, 45935.42307692308, 8.666666666666666
65, 486968, 45511.02803738318, 10.7
66, 595662, 45383.77142857143, 13.125
67, 728618, 44350.66086956522, 16.428571428571427
68, 891251, 45317.84745762712, 19.666666666666668
69, 1090184, 45424.333333333336, 24
70, 1333521, 45590.46153846154, 29.25
71, 1631173, 45310.36111111111, 36
72, 1995262, 45346.86363636364, 44
73, 2440619, 45196.648148148146, 54
74, 2985383, 45578.36641221374, 65.5
75, 3651741, 45083.22222222222, 81
76, 4466836, 44892.824120603014, 99.5
77, 5463865, 45532.208333333336, 120
78, 6683439, 44855.29530201342, 149
79, 8175230, 45671.675977653635, 179
80, 10000000, 45662.100456621, 219
