run (N), input-size (bytes), ops (bytes/ms), time (ms)
1, 1, 133.57, 0.007486711087819121
3, 2, 307.22, 0.006509992839007877
5, 3, 467.58, 0.006416014371872193
7, 4, 631.36, 0.0063355296502787635
8, 5, 803.2, 0.006225099601593625
9, 6, 966.3, 0.006209251785159888
10, 7, 1122.31, 0.006237135907191418
11, 9, 1454.13, 0.006189267809618123
12, 11, 1751.2, 0.00628140703517588
13, 14, 2238.88, 0.00625312656328164
14, 17, 2725.27, 0.006237914041544507
15, 21, 3279.99, 0.006402458544080927
16, 25, 3994.75, 0.006258213905751299
17, 31, 4765.63, 0.006504911207962012
18, 38, 6058.34, 0.006272345229881453
19, 46, 7327.8, 0.006277463904582548
20, 56, 6345.36, 0.008825346394845997
21, 69, 7805.97, 0.008839388314328648
22, 84, 9412.2, 0.00892458723784025
23, 103, 11524.67, 0.00893734918223255
24, 126, 10955.7, 0.011500862564692352
25, 154, 13211.66, 0.011656370206317752
26, 188, 13197.6, 0.014245014245014245
27, 230, 16017.2, 0.014359563469270534
28, 282, 16519.56, 0.01707067258449983
29, 345, 17415.6, 0.019809825673534072
30, 422, 18766.34, 0.022487069934787496
31, 516, 17998.08, 0.028669724770642203
32, 631, 20419.16, 0.030902348578491966
33, 772, 19940.76, 0.03871467286101433
34, 944, 21022.88, 0.0449034575662326
35, 1155, 20050.8, 0.0576036866359447
36, 1413, 21053.7, 0.06711409395973154
37, 1728, 21755.52, 0.07942811755361398
38, 2113, 21996.33, 0.09606147934678194
39, 2585, 22437.8, 0.1152073732718894
40, 3162, 22671.54, 0.1394700139470014
41, 3868, 22859.88, 0.1692047377326565
42, 4732, 22808.24, 0.2074688796680498
43, 5788, 22225.92, 0.2604166666666667
44, 7079, 23219.12, 0.3048780487804878
45, 8660, 23122.2, 0.37453183520599254
46, 10593, 23198.67, 0.45662100456621
47, 12957, 23452.17, 0.5524861878453039
48, 15849, 23298.03, 0.6802721088435374
49, 19387, 23458.27, 0.8264462809917356
50, 23714, 21579.74, 1.098901098901099
51, 29007, 23495.67, 1.2345679012345678
52, 35481, 23536.90099009901, 1.507462686567164
53, 43401, 23436.54, 1.8518518518518519
54, 53088, 23358.72, 2.272727272727273
55, 64938, 22503.26732673267, 2.8857142857142857
56, 79433, 23829.9, 3.3333333333333335
57, 97163, 23583.252427184467, 4.12
58, 118850, 23534.653465346535, 5.05
59, 145378, 23763.71153846154, 6.117647058823529
60, 177828, 23710.4, 7.5
61, 217520, 23458.039215686276, 9.272727272727273
62, 266073, 23709.47524752475, 11.222222222222221
63, 325462, 23456.72072072072, 13.875
64, 398107, 22748.97142857143, 17.5
65, 486968, 22755.51401869159, 21.4
66, 595662, 23590.574257425742, 25.25
67, 728618, 23694.89430894309, 30.75
68, 891251, 23661.53097345133, 37.666666666666664
69, 1090184, 23872.642335766424, 45.666666666666664
70, 1333521, 23602.141592920354, 56.5
71, 1631173, 23812.744525547445, 68.5
72, 1995262, 23336.397660818715, 85.5
73, 2440619, 23927.63725490196, 102
74, 2985383, 23323.3046875, 128
75, 3651741, 23712.603896103898, 154
76, 4466836, 23759.76595744681, 188
77, 5463865, 23450.064377682404, 233
78, 6683439, 23700.13829787234, 282
79, 8175230, 23627.832369942196, 346
80, 10000000, 23474.17840375587, 426
