run (N), input-size (bytes), ops (bytes/ms), time (ms)
1, 1, 28.42, 0.03518648838845883
3, 2, 67, 0.029850746268656716
5, 3, 97.74, 0.030693677102516883
7, 4, 124.76, 0.032061558191728116
8, 5, 165.35, 0.03023888720895071
9, 6, 178.26, 0.03365870077415012
10, 7, 219.31, 0.031918289179699966
11, 9, 252.45, 0.035650623885918005
12, 11, 319.55, 0.03442340791738382
13, 14, 361.76, 0.03869969040247678
14, 17, 452.03, 0.037608123354644606
15, 21, 528.78, 0.03971405877680699
16, 25, 602.75, 0.0414765657403567
17, 31, 677.35, 0.04576659038901602
18, 38, 703, 0.05405405405405406
19, 46, 807.3, 0.05698005698005698
20, 56, 917.84, 0.06101281269066504
21, 69, 951.51, 0.0725163161711385
22, 84, 1081.08, 0.0777000777000777
23, 103, 1180.38, 0.08726003490401396
24, 126, 1194.48, 0.10548523206751055
25, 154, 1252.02, 0.12300123001230012
26, 188, 1255.84, 0.1497005988023952
27, 230, 1398.4, 0.16447368421052633
28, 282, 1452.3, 0.1941747572815534
29, 345, 1355.85, 0.2544529262086514
30, 422, 1498.1, 0.28169014084507044
31, 516, 1584.12, 0.3257328990228013
32, 631, 1596.43, 0.3952569169960474
33, 772, 1598.04, 0.4830917874396135
34, 944, 1670.88, 0.5649717514124294
35, 1155, 1663.2, 0.6944444444444444
36, 1413, 1610.82, 0.8771929824561403
37, 1728, 1624.32, 1.0638297872340425
38, 2113, 1627.01, 1.2987012987012987
39, 2585, 1638.019801980198, 1.578125
40, 3162, 1690.5742574257426, 1.8703703703703705
41, 3868, 1685.069306930693, 2.2954545454545454
42, 4732, 1670.1176470588234, 2.8333333333333335
43, 5788, 1661.90099009901, 3.4827586206896552
44, 7079, 1682.1386138613861, 4.208333333333333
45, 8660, 1665.3846153846155, 5.2
46, 10593, 1661.6470588235295, 6.375
47, 12957, 1684.41, 7.6923076923076925
48, 15849, 1371.548076923077, 11.555555555555555
49, 19387, 1600.7614678899083, 12.11111111111111
50, 23714, 1693.857142857143, 14
51, 29007, 1474.9322033898304, 19.666666666666668
52, 35481, 1419.24, 25
53, 43401, 1422.983606557377, 30.5
54, 53088, 1474.6666666666667, 36
55, 64938, 1432.4558823529412, 45.333333333333336
56, 79433, 1369.5344827586207, 58
57, 97163, 1321.9455782312925, 73.5
58, 118850, 1628.0821917808219, 73
59, 145378, 1588.8306010928961, 91.5
60, 177828, 1587.75, 112
61, 217520, 1440.5298013245033, 151
62, 266073, 1520.4171428571428, 175
63, 325462, 1513.7767441860465, 215
64, 398107, 1531.1807692307693, 260
65, 486968, 1517.0342679127725, 321
66, 595662, 1547.1740259740259, 385
67, 728618, 1374.7509433962264, 530
68, 891251, 1403.5448818897637, 635
69, 1090184, 1453.5786666666668, 750
70, 1333521, 1362.1256384065373, 979
71, 1631173, 1332.6576797385621, 1224
72, 1995262, 1471.4321533923303, 1356
73, 2440619, 1500.9956949569496, 1626
74, 2985383, 1494.1856856856857, 1998
75, 3651741, 1378.0154716981133, 2650
76, 4466836, 1401.5801694383433, 3187
77, 5463865, 1454.7031416400425, 3756
78, 6683439, 1467.5974967061923, 4554
79, 8175230, 1505.0128865979382, 5432
80, 10000000, 1514.2337976983647, 6604
