run (N), input-size (bytes), ops (bytes/ms), time (ms)
1, 1, 3.52, 0.2840909090909091
3, 2, 9.62, 0.2079002079002079
5, 3, 14.85, 0.20202020202020202
7, 4, 19.8, 0.20202020202020202
8, 5, 25.3, 0.1976284584980237
9, 6, 29.94, 0.20040080160320642
10, 7, 35.7, 0.19607843137254902
11, 9, 45.9, 0.19607843137254902
12, 11, 56.21, 0.19569471624266144
13, 14, 76.02, 0.1841620626151013
14, 17, 92.65, 0.1834862385321101
15, 21, 114.03, 0.1841620626151013
16, 25, 135.75, 0.1841620626151013
17, 31, 168.02, 0.18450184501845018
18, 38, 205.2, 0.18518518518518517
19, 46, 249.32, 0.18450184501845018
20, 56, 160.16, 0.34965034965034963
21, 69, 192.51, 0.35842293906810035
22, 84, 226.8, 0.37037037037037035
23, 103, 292.52, 0.352112676056338
24, 126, 244.44, 0.5154639175257731
25, 154, 295.68, 0.5208333333333334
26, 188, 265.08, 0.7092198581560284
27, 230, 335.8, 0.684931506849315
28, 282, 332.76, 0.847457627118644
29, 345, 334.65, 1.0309278350515463
30, 422, 358.7, 1.1764705882352942
31, 516, 335.4, 1.5384615384615385
32, 631, 378.6, 1.6666666666666667
33, 772, 322.29126213592235, 2.395348837209302
34, 944, 320.77669902912623, 2.942857142857143
35, 1155, 354.5049504950495, 3.2580645161290325
36, 1413, 370.3980582524272, 3.814814814814815
37, 1728, 348.9230769230769, 4.9523809523809526
38, 2113, 380.34, 5.555555555555555
39, 2585, 372.83653846153845, 6.933333333333334
40, 3162, 375.6831683168317, 8.416666666666666
41, 3868, 375.5339805825243, 10.3
42, 4732, 374.81188118811883, 12.625
43, 5788, 389.5769230769231, 14.857142857142858
44, 7079, 389.6697247706422, 18.166666666666668
45, 8660, 376.5217391304348, 23
46, 10593, 388.73394495412845, 27.25
47, 12957, 388.71, 33.333333333333336
48, 15849, 389.7295081967213, 40.666666666666664
49, 19387, 383.9009900990099, 50.5
50, 23714, 388.75409836065575, 61
51, 29007, 381.67105263157896, 76
52, 35481, 298.15966386554624, 119
53, 43401, 336.4418604651163, 129
54, 53088, 384.69565217391306, 138
55, 64938, 349.1290322580645, 186
56, 79433, 385.59708737864077, 206
57, 97163, 358.5350553505535, 271
58, 118850, 382.15434083601286, 311
59, 145378, 377.6051948051948, 385
60, 177828, 387.42483660130716, 459
61, 217520, 348.032, 625
62, 266073, 389.5651537335286, 683
63, 325462, 386.0759193357058, 843
64, 398107, 389.1564027370479, 1023
65, 486968, 384.3472770323599, 1267
66, 595662, 394.73956262425446, 1509
67, 728618, 391.73010752688174, 1860
68, 891251, 394.1844316674038, 2261
69, 1090184, 394.56532754252623, 2763
70, 1333521, 395.1173333333333, 3375
71, 1631173, 393.7178373159546, 4143
72, 1995262, 394.9449722882027, 5052
73, 2440619, 394.22048134388626, 6191
74, 2985383, 396.41256141282696, 7531
75, 3651741, 394.74013620149174, 9251
76, 4466836, 395.05049969045723, 11307
77, 5463865, 383.7253318351008, 14239
78, 6683439, 391.02732272408144, 17092
79, 8175230, 391.04706782741795, 20906
80, 10000000, 395.02271380604384, 25315
