run (N), input-size (bytes), ops (bytes/ms), time (ms)
1, 1, 26.09, 0.038328861632809505
3, 2, 63.26, 0.03161555485298767
5, 3, 91.83, 0.03266906239790918
7, 4, 123.12, 0.03248862897985705
8, 5, 157.25, 0.03179650238473768
9, 6, 187.86, 0.031938677738741615
10, 7, 214.06, 0.032701111837802485
11, 9, 280.35, 0.03210272873194221
12, 11, 341.11, 0.032247662044501774
13, 14, 436.52, 0.03207184092366902
14, 17, 530.91, 0.03202049311559398
15, 21, 637.14, 0.03295978905735003
16, 25, 770.25, 0.03245699448231094
17, 31, 955.42, 0.03244646333549643
18, 38, 1162.04, 0.032701111837802485
19, 46, 1405.76, 0.032722513089005235
20, 56, 1089.2, 0.05141388174807198
21, 69, 1324.11, 0.05211047420531527
22, 84, 1600.2, 0.05249343832020997
23, 103, 1977.6, 0.052083333333333336
24, 126, 1612.8, 0.078125
25, 154, 1829.52, 0.08417508417508418
26, 188, 2071.76, 0.09074410163339383
27, 230, 2224.1, 0.10341261633919338
28, 282, 2490.06, 0.11325028312570781
29, 345, 2549.55, 0.13531799729364005
30, 422, 2768.32, 0.1524390243902439
31, 516, 2688.36, 0.19193857965451055
32, 631, 2972.01, 0.21231422505307856
33, 772, 2871.84, 0.26881720430107525
34, 944, 3058.56, 0.30864197530864196
35, 1155, 2945.25, 0.39215686274509803
36, 1413, 3066.21, 0.4608294930875576
37, 1728, 3093.12, 0.5586592178770949
38, 2113, 3148.37, 0.6711409395973155
39, 2585, 2998.6, 0.8620689655172413
40, 3162, 3193.62, 0.9900990099009901
41, 3868, 3171.76, 1.2195121951219512
42, 4732, 3170.44, 1.492537313432836
43, 5788, 3209.1881188118814, 1.8035714285714286
44, 7079, 3224.09900990099, 2.1956521739130435
45, 8660, 3204.2, 2.7027027027027026
46, 10593, 3283.83, 3.225806451612903
47, 12957, 3270.6990291262136, 3.9615384615384617
48, 15849, 3138.4158415841584, 5.05
49, 19387, 3231.1666666666665, 6
50, 23714, 3254.8627450980393, 7.285714285714286
51, 29007, 3346.9615384615386, 8.666666666666666
52, 35481, 3285.277777777778, 10.8
53, 43401, 3244.9345794392525, 13.375
54, 53088, 3318, 16
55, 64938, 3246.9, 20
56, 79433, 3228.9837398373984, 24.6
57, 97163, 3212, 30.25
58, 118850, 3241.3636363636365, 36.666666666666664
59, 145378, 3279.2030075187968, 44.333333333333336
60, 177828, 3262.8990825688074, 54.5
61, 217520, 3198.823529411765, 68
62, 266073, 3264.6993865030677, 81.5
63, 325462, 3254.62, 100
64, 398107, 3236.642276422764, 123
65, 486968, 3246.4533333333334, 150
66, 595662, 3102.40625, 192
67, 728618, 3154.190476190476, 231
68, 891251, 3149.296819787986, 283
69, 1090184, 3011.558011049724, 362
70, 1333521, 3137.696470588235, 425
71, 1631173, 3179.674463937622, 513
72, 1995262, 3152.0726698262242, 633
73, 2440619, 3169.6350649350647, 770
74, 2985383, 3139.203995793901, 951
75, 3651741, 3123.8160821214715, 1169
76, 4466836, 3134.621754385965, 1425
77, 5463865, 3180.363795110594, 1718
78, 6683439, 3155.542492917847, 2118
79, 8175230, 3184.7409427347097, 2567
80, 10000000, 3168.567807351077, 3156
