run (N), input-size (bytes), ops (bytes/ms), time (ms)
1, 1, 26.56, 0.03765060240963856
3, 2, 64.7, 0.030911901081916538
5, 3, 94.44, 0.03176620076238882
7, 4, 139.12, 0.02875215641173088
8, 5, 163.05, 0.030665440049064702
9, 6, 194.58, 0.030835646006783842
10, 7, 239.44117647058823, 0.029234737747205503
11, 9, 261.9, 0.03436426116838488
12, 11, 359.26, 0.03061849357011635
13, 14, 458.78, 0.030515715593530668
14, 17, 573.41, 0.029647198339756892
15, 21, 678.51, 0.03095017022593624
16, 25, 792.75, 0.0315357931251971
17, 31, 1066.71, 0.02906131938390003
18, 38, 1090.98, 0.034831069313827935
19, 46, 1479.82, 0.031084861672365557
20, 56, 1352.3168316831684, 0.04141041410414104
21, 69, 1582.86, 0.043591979075850044
22, 84, 2033.64, 0.041305245766212306
23, 103, 2348.4, 0.043859649122807015
24, 126, 2298.24, 0.05482456140350877
25, 154, 2790.48, 0.05518763796909492
26, 188, 2895.2, 0.06493506493506493
27, 230, 3266, 0.07042253521126761
28, 282, 9001.44, 0.03132832080200501
29, 345, 11053.8, 0.031210986267166042
30, 422, 12529.18, 0.033681374200067365
31, 516, 14344.8, 0.03597122302158273
32, 631, 15806.55, 0.03992015968063872
33, 772, 17887.24, 0.04315925766076824
34, 944, 17983.2, 0.05249343832020997
35, 1155, 20778.45, 0.055586436909394105
36, 1413, 20361.33, 0.06939625260235947
37, 1728, 24071.04, 0.07178750897343862
38, 2113, 24996.79, 0.08453085376162299
39, 2585, 25669.05, 0.10070493454179255
40, 3162, 23936.34, 0.13210039630118892
41, 3868, 28391.12, 0.1362397820163488
42, 4732, 26499.2, 0.17857142857142858
43, 5788, 28476.96, 0.2032520325203252
44, 7079, 28732.41176470588, 0.2463768115942029
45, 8660, 28664.6, 0.3021148036253776
46, 10593, 30613.77, 0.3460207612456747
47, 12957, 26432.28, 0.49019607843137253
48, 15849, 31856.49, 0.4975124378109453
49, 19387, 31794.68, 0.6097560975609756
50, 23714, 27745.38, 0.8547008547008547
51, 29007, 31617.63, 0.9174311926605505
52, 35481, 31578.09, 1.1235955056179776
53, 43401, 27776.64, 1.5625
54, 53088, 31852.8, 1.6666666666666667
55, 64938, 30861.62376237624, 2.1041666666666665
56, 79433, 30672.148514851484, 2.58974358974359
57, 97163, 32387.666666666668, 3
58, 118850, 31460.29411764706, 3.7777777777777777
59, 145378, 32150.903846153848, 4.521739130434782
60, 177828, 30484.8, 5.833333333333333
61, 217520, 31373.076923076922, 6.933333333333334
62, 266073, 30700.73076923077, 8.666666666666666
63, 325462, 30996.380952380954, 10.5
64, 398107, 31848.56, 12.5
65, 486968, 28928.79207920792, 16.833333333333332
66, 595662, 31910.464285714286, 18.666666666666668
67, 728618, 31405.94827586207, 23.2
68, 891251, 31548.70796460177, 28.25
69, 1090184, 29732.29090909091, 36.666666666666664
70, 1333521, 32004.504, 41.666666666666664
71, 1631173, 30776.849056603773, 53
72, 1995262, 30231.242424242424, 66
73, 2440619, 31696.35064935065, 77
74, 2985383, 30619.31282051282, 97.5
75, 3651741, 31211.46153846154, 117
76, 4466836, 31679.687943262412, 141
77, 5463865, 31222.085714285713, 175
78, 6683439, 31377.647887323943, 213
79, 8175230, 31686.937984496122, 258
80, 10000000, 31746.031746031746, 315
