run (N), input-size (bytes), ops (bytes/ms), time (ms)
1, 1, 39.67, 0.025207965717166624
3, 2, 79.36, 0.025201612903225805
5, 3, 122.91, 0.0244081034903588
7, 4, 166, 0.024096385542168676
8, 5, 197.75, 0.025284450063211124
9, 6, 250.32, 0.023969319271332695
10, 7, 293.09, 0.02388344877000239
11, 9, 356.22857142857146, 0.025264677574590954
12, 11, 465.74, 0.023618327822390175
13, 14, 600.88, 0.023299161230195712
14, 17, 720.46, 0.023596035865974516
15, 21, 801.15, 0.02621231979030144
16, 25, 1021.25, 0.02447980416156671
17, 31, 1290.22, 0.024026910139356077
18, 38, 1568.64, 0.02422480620155039
19, 46, 1774.22, 0.025926886180969666
20, 56, 1557.92, 0.035945363048166784
21, 69, 1906.47, 0.036192544335866814
22, 84, 2041.2, 0.0411522633744856
23, 103, 2818.08, 0.03654970760233918
24, 126, 2630.88, 0.04789272030651341
25, 154, 2993.76, 0.051440329218107
26, 188, 2701.56, 0.06958942240779402
27, 230, 3443.1, 0.06680026720106881
28, 282, 3677.28, 0.07668711656441718
29, 345, 3946.8, 0.08741258741258741
30, 422, 3933.04, 0.1072961373390558
31, 516, 4029.96, 0.12804097311139565
32, 631, 4398.07, 0.14347202295552366
33, 772, 4207.4, 0.1834862385321101
34, 944, 4295.2, 0.21978021978021978
35, 1155, 4331.25, 0.26666666666666666
36, 1413, 4465.08, 0.31645569620253167
37, 1728, 4561.92, 0.3787878787878788
38, 2113, 4542.95, 0.46511627906976744
39, 2585, 4446.2, 0.5813953488372093
40, 3162, 4711.38, 0.6711409395973155
41, 3868, 4757.64, 0.8130081300813008
42, 4732, 4732, 1
43, 5788, 4283.12, 1.3513513513513513
44, 7079, 4601.35, 1.5384615384615385
45, 8660, 4676.4, 1.8518518518518519
46, 10593, 4824.534653465346, 2.1956521739130435
47, 12957, 4874.910891089109, 2.6578947368421053
48, 15849, 4864.544554455446, 3.2580645161290325
49, 19387, 4846.75, 4
50, 23714, 4882.294117647059, 4.857142857142857
51, 29007, 4882.366336633663, 5.9411764705882355
52, 35481, 4822.660194174758, 7.357142857142857
53, 43401, 4913.320754716981, 8.833333333333334
54, 53088, 4684.235294117647, 11.333333333333334
55, 64938, 9532.183486238531, 6.8125
56, 79433, 4877.464912280701, 16.285714285714285
57, 97163, 4671.298076923077, 20.8
58, 118850, 4870.901639344263, 24.4
59, 145378, 4886.655462184874, 29.75
60, 177828, 4894.348623853211, 36.333333333333336
61, 217520, 4763.211678832116, 45.666666666666664
62, 266073, 4927.277777777777, 54
63, 325462, 4857.641791044776, 67
64, 398107, 4945.428571428572, 80.5
65, 486968, 4918.868686868687, 99
66, 595662, 5005.563025210084, 119
67, 728618, 5024.951724137931, 145
68, 891251, 5035.316384180791, 177
69, 1090184, 4888.717488789238, 223
70, 1333521, 4902.650735294118, 272
71, 1631173, 4913.171686746988, 332
72, 1995262, 4938.767326732674, 404
73, 2440619, 11512.353773584906, 212
74, 2985383, 23883.064, 125
75, 3651741, 28090.315384615384, 130
76, 4466836, 28093.30817610063, 159
77, 5463865, 28457.630208333332, 192
78, 6683439, 26312.751968503937, 254
79, 8175230, 28386.215277777777, 288
80, 10000000, 28328.611898016996, 353
