run (N), input-size (bytes), ops (bytes/ms), time (ms)
1, 1, 40, 0.025
3, 2, 85.16, 0.023485204321277594
5, 3, 120.06, 0.02498750624687656
7, 4, 173.76, 0.02302025782688766
8, 5, 217.9, 0.02294630564479119
9, 6, 264.12, 0.02271694684234439
10, 7, 309.33, 0.022629554197782304
11, 9, 400.32, 0.022482014388489208
12, 11, 492.8, 0.022321428571428572
13, 14, 634.9, 0.022050716648291068
14, 17, 770.44, 0.02206531332744925
15, 21, 977.55, 0.021482277121374866
16, 25, 1178.75, 0.021208907741251327
17, 31, 1545.66, 0.020056157240272765
18, 38, 1979.8, 0.019193857965451054
19, 46, 1207.96, 0.03808073115003808
20, 56, 1453.2, 0.038535645472061654
21, 69, 1865.76, 0.03698224852071006
22, 84, 1569.12, 0.05353319057815846
23, 103, 1934.34, 0.05324813631522897
24, 126, 1815.66, 0.06939625260235947
25, 154, 2231.46, 0.06901311249137336
26, 188, 2248.48, 0.08361204013377926
27, 230, 2309.2, 0.099601593625498
28, 282, 2490.06, 0.11325028312570781
29, 345, 2363.25, 0.145985401459854
30, 422, 2380.08, 0.1773049645390071
31, 516, 2476.8, 0.20833333333333334
32, 631, 2675.44, 0.2358490566037736
33, 772, 2563.04, 0.30120481927710846
34, 944, 2586.56, 0.36496350364963503
35, 1155, 2587.2, 0.44642857142857145
36, 1413, 2656.44, 0.5319148936170213
37, 1728, 2695.68, 0.6410256410256411
38, 2113, 2704.64, 0.78125
39, 2585, 2714.25, 0.9523809523809523
40, 3162, 2719.32, 1.1627906976744187
41, 3868, 2719.089108910891, 1.4225352112676057
42, 4732, 2717.3861386138615, 1.7413793103448276
43, 5788, 2693.4257425742576, 2.148936170212766
44, 7079, 2760.81, 2.5641025641025643
45, 8660, 2743.762376237624, 3.15625
46, 10593, 2754.18, 3.8461538461538463
47, 12957, 2740.903846153846, 4.7272727272727275
48, 15849, 2769.7281553398057, 5.722222222222222
49, 19387, 2714.18, 7.142857142857143
50, 23714, 2710.1714285714284, 8.75
51, 29007, 2816.21359223301, 10.3
52, 35481, 2755.8058252427186, 12.875
53, 43401, 2761.8818181818183, 15.714285714285714
54, 53088, 2528, 21
55, 64938, 2751.6101694915255, 23.6
56, 79433, 2762.886956521739, 28.75
57, 97163, 2724.196261682243, 35.666666666666664
58, 118850, 2701.1363636363635, 44
59, 145378, 2742.9811320754716, 53
60, 177828, 2250.987341772152, 79
61, 217520, 2589.5238095238096, 84
62, 266073, 2163.1951219512193, 123
63, 325462, 2034.1375, 160
64, 398107, 1228.7253086419753, 324
65, 486968, 1971.5303643724696, 247
66, 595662, 1186.5776892430279, 502
67, 728618, 1194.455737704918, 610
68, 891251, 1212.586394557823, 735
69, 1090184, 1222.1793721973095, 892
70, 1333521, 1231.3213296398892, 1083
71, 1631173, 2011.3107274969175, 811
72, 1995262, 1266.833015873016, 1575
73, 2440619, 1211.8267130089375, 2014
74, 2985383, 1222.515561015561, 2442
75, 3651741, 1211.1910447761195, 3015
76, 4466836, 1215.4655782312925, 3675
77, 5463865, 2009.5126884884148, 2719
78, 6683439, 1224.073076923077, 5460
79, 8175230, 1233.2523759239705, 6629
80, 10000000, 1204.5290291496026, 8302
