run (N), input-size (bytes), ops (bytes/ms), time (ms)
1, 1, 39.99, 0.025006251562890724
3, 2, 86.82, 0.0230361667818475
5, 3, 122.76, 0.024437927663734114
7, 4, 172.64, 0.023169601482854494
8, 5, 216.55, 0.023089355806972984
9, 6, 257.4, 0.023310023310023312
10, 7, 304.43, 0.022993791676247412
11, 9, 384.21, 0.023424689622862496
12, 11, 409.2, 0.026881720430107527
13, 14, 571.2, 0.024509803921568627
14, 17, 689.35, 0.02466091245376079
15, 21, 840.63, 0.02498126405196103
16, 25, 979.25, 0.02552974214960429
17, 31, 1194.12, 0.02596053997923157
18, 38, 1388.14, 0.02737476047084588
19, 46, 990.84, 0.04642525533890436
20, 56, 1200.08, 0.04666355576294914
21, 69, 1442.79, 0.04782400765184122
22, 84, 1250.76, 0.0671591672263264
23, 103, 1447.15, 0.0711743772241993
24, 126, 1350.72, 0.09328358208955224
25, 154, 1675.52, 0.09191176470588236
26, 188, 1669.44, 0.11261261261261261
27, 230, 1711.2, 0.13440860215053763
28, 282, 1779.42, 0.15847860538827258
29, 345, 1721.55, 0.20040080160320642
30, 422, 1865.24, 0.22624434389140272
31, 516, 1780.2, 0.2898550724637681
32, 631, 1867.76, 0.33783783783783783
33, 772, 1821.92, 0.423728813559322
34, 944, 1831.36, 0.5154639175257731
35, 1155, 1824.9, 0.6329113924050633
36, 1413, 1851.03, 0.7633587786259542
37, 1728, 1866.24, 0.9259259259259259
38, 2113, 1838.31, 1.1494252873563218
39, 2585, 1861.2, 1.3888888888888888
40, 3162, 1878.4158415841584, 1.6833333333333333
41, 3868, 1876.5544554455446, 2.061224489795918
42, 4732, 1845.48, 2.5641025641025643
43, 5788, 1872.5882352941176, 3.090909090909091
44, 7079, 1873.8529411764705, 3.7777777777777777
45, 8660, 1867.8431372549019, 4.636363636363637
46, 10593, 1887.8613861386139, 5.611111111111111
47, 12957, 1886.9417475728155, 6.866666666666666
48, 15849, 1901.88, 8.333333333333334
49, 19387, 1919.5049504950496, 10.1
50, 23714, 1897.12, 12.5
51, 29007, 1897.6542056074766, 15.285714285714286
52, 35481, 1883.9469026548672, 18.833333333333332
53, 43401, 1887, 23
54, 53088, 1862.7368421052631, 28.5
55, 64938, 1909.9411764705883, 34
56, 79433, 1906.392, 41.666666666666664
57, 97163, 1868.5192307692307, 52
58, 118850, 1871.6535433070867, 63.5
59, 145378, 1751.5421686746988, 83
60, 177828, 1602.054054054054, 111
61, 217520, 1891.4782608695652, 115
62, 266073, 1662.95625, 160
63, 325462, 1527.9906103286385, 213
64, 398107, 997.7619047619048, 399
65, 486968, 987.7647058823529, 493
66, 595662, 991.1181364392679, 601
67, 728618, 1517.9541666666667, 480
68, 891251, 1502.9527824620573, 593
69, 1090184, 1022.6866791744841, 1066
70, 1333521, 1038.5677570093458, 1284
71, 1631173, 1541.751417769376, 1058
72, 1995262, 1034.8869294605809, 1928
73, 2440619, 1023.7495805369127, 2384
74, 2985383, 1023.4429208090504, 2917
75, 3651741, 1024.6186868686868, 3564
76, 4466836, 1024.9738412115648, 4358
77, 5463865, 1493.675505740842, 3658
78, 6683439, 1513.1172741679873, 4417
79, 8175230, 1508.3450184501844, 5420
80, 10000000, 1469.2918013517485, 6806
