run (N), input-size (bytes), ops (bytes/ms), time (ms)
1, 1, 37.55, 0.02663115845539281
3, 2, 82.46, 0.02425418384671356
5, 3, 123.39, 0.024313153415998056
7, 4, 161.16, 0.02482005460412013
8, 5, 206.85, 0.024172105390379502
9, 6, 248.46, 0.02414875633904854
10, 7, 289.52, 0.024177949709864602
11, 9, 375.39, 0.02397506593143131
12, 11, 458.26, 0.02400384061449832
13, 14, 579.88, 0.024142926122646065
14, 17, 714.17, 0.023803856224708403
15, 21, 845.88, 0.024826216484607744
16, 25, 1043, 0.023969319271332695
17, 31, 1280.92, 0.02420135527589545
18, 38, 1584.22, 0.023986567522187575
19, 46, 1923.26, 0.02391772303276728
20, 56, 2174.48, 0.025753283543651816
21, 69, 2685.48, 0.025693730729701953
22, 84, 3290.28, 0.02552974214960429
23, 103, 4014.94, 0.025654181631605953
24, 126, 4663.26, 0.027019724398811132
25, 154, 5738.04, 0.026838432635534086
26, 188, 6527.36, 0.02880184331797235
27, 230, 7633.7, 0.030129557095510694
28, 282, 9291.9, 0.030349013657056147
29, 345, 10953.75, 0.031496062992125984
30, 422, 12761.28, 0.03306878306878307
31, 516, 14164.2, 0.03642987249544627
32, 631, 14128.09, 0.044662795891022775
33, 772, 18142, 0.0425531914893617
34, 944, 20296, 0.046511627906976744
35, 1155, 21575.4, 0.05353319057815846
36, 1413, 24543.81, 0.057570523891767415
37, 1728, 26317.44, 0.06565988181221274
38, 2113, 28546.63, 0.07401924500370097
39, 2585, 30451.3, 0.08488964346349745
40, 3162, 30987.6, 0.10204081632653061
41, 3868, 33574.24, 0.1152073732718894
42, 4732, 34496.28, 0.13717421124828533
43, 5788, 35248.92, 0.16420361247947454
44, 7079, 36810.8, 0.19230769230769232
45, 8660, 37844.2, 0.2288329519450801
46, 10593, 38028.87, 0.2785515320334262
47, 12957, 27857.55, 0.46511627906976744
48, 15849, 39780.99, 0.398406374501992
49, 19387, 39937.22, 0.4854368932038835
50, 23714, 40550.94, 0.5847953216374269
51, 29007, 40319.73, 0.7194244604316546
52, 35481, 40803.15, 0.8695652173913043
53, 43401, 40796.94, 1.0638297872340425
54, 53088, 42470.4, 1.25
55, 64938, 41560.32, 1.5625
56, 79433, 41305.16, 1.9230769230769231
57, 97163, 41780.09, 2.3255813953488373
58, 118850, 41947.05882352941, 2.8333333333333335
59, 145378, 42758.23529411765, 3.4
60, 177828, 42256.158415841586, 4.208333333333333
61, 217520, 42236.8932038835, 5.15
62, 266073, 42150.17821782178, 6.3125
63, 325462, 33458.71028037383, 9.727272727272727
64, 398107, 42107.471153846156, 9.454545454545455
65, 486968, 41346.339622641506, 11.777777777777779
66, 595662, 42930.59459459459, 13.875
67, 728618, 43284.237623762376, 16.833333333333332
68, 891251, 42848.605769230766, 20.8
69, 1090184, 43175.60396039604, 25.25
70, 1333521, 42000.66141732284, 31.75
71, 1631173, 43305.4778761062, 37.666666666666664
72, 1995262, 43063.20863309353, 46.333333333333336
73, 2440619, 42079.637931034486, 58
74, 2985383, 42345.85815602837, 70.5
75, 3651741, 42216.65895953757, 86.5
76, 4466836, 42139.96226415094, 106
77, 5463865, 40775.111940298506, 134
78, 6683439, 42300.24683544304, 158
79, 8175230, 42140.36082474227, 194
80, 10000000, 42194.09282700422, 237
