run (N), input-size (bytes), ops (bytes/ms), time (ms)
1, 1, 45.83, 0.02181976871045167
3, 2, 108.36, 0.01845699520118125
5, 3, 167.49, 0.017911517105498837
7, 4, 221.04, 0.018096272167933407
8, 5, 276.85, 0.018060321473722232
9, 6, 311.04, 0.019290123456790122
10, 7, 348.74, 0.02007226013649137
11, 9, 485.28, 0.018545994065281898
12, 11, 586.3, 0.01876172607879925
13, 14, 752.36, 0.018608113137327874
14, 17, 444.21, 0.038270187523918864
15, 21, 564.06, 0.03723008190618019
16, 25, 666.75, 0.03749531308586427
17, 31, 820.26, 0.03779289493575208
18, 38, 702.62, 0.05408328826392644
19, 46, 835.82, 0.0550357732526142
20, 56, 787.36, 0.07112375533428165
21, 69, 794.19, 0.08688097306689835
22, 84, 810.6, 0.10362694300518134
23, 103, 861.08, 0.11961722488038277
24, 126, 923.58, 0.1364256480218281
25, 154, 903.98, 0.17035775127768313
26, 188, 915.56, 0.2053388090349076
27, 230, 910.8, 0.25252525252525254
28, 282, 933.42, 0.3021148036253776
29, 345, 959.1, 0.3597122302158273
30, 422, 970.6, 0.43478260869565216
31, 516, 954.6, 0.5405405405405406
32, 631, 984.36, 0.6410256410256411
33, 772, 972.72, 0.7936507936507936
34, 944, 981.76, 0.9615384615384616
35, 1155, 981.75, 1.1764705882352942
36, 1413, 979.3069306930693, 1.4428571428571428
37, 1728, 958.0990099009902, 1.8035714285714286
38, 2113, 952.9215686274509, 2.217391304347826
39, 2585, 972.5742574257425, 2.6578947368421053
40, 3162, 961, 3.2903225806451615
41, 3868, 976.3883495145631, 3.9615384615384617
42, 4732, 964.7766990291262, 4.904761904761905
43, 5788, 964.6666666666666, 6
44, 7079, 971.6274509803922, 7.285714285714286
45, 8660, 999.2307692307693, 8.666666666666666
46, 10593, 990, 10.7
47, 12957, 959.7777777777778, 13.5
48, 15849, 990.5625, 16
49, 19387, 969.35, 20
50, 23714, 963.9837398373984, 24.6
51, 29007, 966.9, 30
52, 35481, 985.5833333333334, 36
53, 43401, 978.9699248120301, 44.333333333333336
54, 53088, 974.0917431192661, 54.5
55, 64938, 962.0444444444445, 67.5
56, 79433, 887.5195530726257, 89.5
57, 97163, 986.4263959390863, 98.5
58, 118850, 990.4166666666666, 120
59, 145378, 982.2837837837837, 148
60, 177828, 993.4525139664804, 179
61, 217520, 971.0714285714286, 224
62, 266073, 967.5381818181818, 275
63, 325462, 968.6369047619048, 336
64, 398107, 990.3159203980099, 402
65, 486968, 971.9920159680639, 501
66, 595662, 981.3212520593081, 607
67, 728618, 981.9649595687332, 742
68, 891251, 984.8077348066298, 905
69, 1090184, 986.59185520362, 1105
70, 1333521, 953.1958541815583, 1399
71, 1631173, 964.0502364066194, 1692
72, 1995262, 965.7608906098742, 2066
73, 2440619, 963.5290169759179, 2533
74, 2985383, 961.1664520283323, 3106
75, 3651741, 959.2174940898345, 3807
76, 4466836, 970.6292916123425, 4602
77, 5463865, 968.9421883312644, 5639
78, 6683439, 971.4300872093023, 6880
79, 8175230, 972.4313072439634, 8407
80, 10000000, 971.6284492809949, 10292
