iterations (N), time (ms), iterations/ms (ops/ms), hash
1, 0.13440860215053763, 7.44, 3816b2a39e009724310a2e3b936bf402b252fcd3047d24f42ca3aabb720111d8
2, 0.18867924528301888, 10.6, 5eaca859dcfae94e43fd08b1cb58c59106f9c548047d24f42ca3aabb720111d8
3, 0.2638522427440633, 11.37, 495fb9b64af10f441a0a7ac755b7d9c65d896f33047d24f42ca3aabb720111d8
4, 0.3448275862068966, 11.6, 6797fdd4b556240306a74d884b5bd28c3cbda2d9047d24f42ca3aabb720111d8
5, 0.42735042735042733, 11.7, 91c0227e83a5cab4047ef9ce922b589a4f887e88047d24f42ca3aabb720111d8
6, 0.5102040816326531, 11.76, 1f25c5560c18832ea1fafdc01b904fc499d7349f047d24f42ca3aabb720111d8
7, 0.6622516556291391, 10.57, f06d197b1ad1ebf061ab4b753c9100c38d51e2e4047d24f42ca3aabb720111d8
8, 0.6756756756756757, 11.84, ec451fc71b54bb3589278c7403f7b22c4c24bdd8047d24f42ca3aabb720111d8
9, 0.7575757575757576, 11.88, 002d1fd9ee9c07dea325b7d2404992e46dd0fe70047d24f42ca3aabb720111d8
10, 0.847457627118644, 11.8, 4bf72d3d1b881ce95f99cf2681256b3f9e38bd5e047d24f42ca3aabb720111d8
11, 0.9259259259259259, 11.88, d3a095c1458520f34c4d74b4178a37d5e40f9627047d24f42ca3aabb720111d8
13, 1.2048192771084338, 10.79, 255fdf9b5a9213a437fce40cc0d53c061ac3cce0047d24f42ca3aabb720111d8
14, 1.1764705882352942, 11.9, 82ec13b0d4f27739523862f4940ab6bb64603068047d24f42ca3aabb720111d8
16, 1.3333333333333333, 12, 9480974e799cf3a0f92d7d0fc1bf43ceec4bd7d8047d24f42ca3aabb720111d8
18, 1.507462686567164, 11.94059405940594, d1df849e46a505a53088ff57527d753910171cc1047d24f42ca3aabb720111d8
20, 1.6557377049180328, 12.07920792079208, e611249483aa880fed57c2791826176087bc3792047d24f42ca3aabb720111d8
22, 1.8181818181818181, 12.1, fcb1ce116b83b1c0ba0c1a17ec1332eac0e32138047d24f42ca3aabb720111d8
25, 2.0833333333333335, 12, 0085e5ebdf5d4df716f00a0609bd3a3e30b3fd9f047d24f42ca3aabb720111d8
28, 2.3181818181818183, 12.07843137254902, 0d5d9fdfe482d97a3a34c60e93148e6a65760a3e047d24f42ca3aabb720111d8
32, 2.6315789473684212, 12.16, 65388e8851e2cff46e6d5efc3070d9cae63b12ea047d24f42ca3aabb720111d8
35, 2.914285714285714, 12.009803921568627, 6c15a9d794fec5643258ccddf257067e96aa6f29047d24f42ca3aabb720111d8
40, 3.642857142857143, 10.980392156862745, ef3cf394bc4c16d9de3a9da24e4081866a6c25b0047d24f42ca3aabb720111d8
45, 3.740740740740741, 12.029702970297029, 7b140587159c72275bde5088854038bf7660838d047d24f42ca3aabb720111d8
50, 4.12, 12.135922330097088, c3b33d28e7d0b98f772c4f9c11b6ad82084e46e5047d24f42ca3aabb720111d8
