iterations (N), time (ms), iterations/ms (ops/ms), hash
1, 0.423728813559322, 2.36, 3816b2a39e009724310a2e3b936bf402b252fcd3
2, 0.4166666666666667, 4.8, 06ba99a17903eb031ad3957dcb58c59106f9c548
3, 0.5076142131979695, 5.91, 80ee36676c44a2df6bae853c55b7d9c65d896f33
4, 0.6024096385542169, 6.64, 2e58a118f7ea736f5dc53c584b5bd28c3cbda2d9
5, 0.6369426751592356, 7.85, deb8ae696061331406503428922b589a4f887e88
6, 0.819672131147541, 7.32, 1e9f4b726b895d5e1cb595b81b904fc499d7349f
7, 0.8849557522123894, 7.91, 00904b826673a9ccacebe5a53c9100c38d51e2e4
8, 1.0101010101010102, 7.92, b2daa520bc809c2bafaa619903f7b22c4c24bdd8
9, 1.0638297872340425, 8.46, 8d655a0a94461a9decf9a277404992e46dd0fe70
10, 1.2048192771084338, 8.3, 84816378aa1af4a0f81972b881256b3f9e38bd5e
11, 1.2820512820512822, 8.58, 1ffd34f7c55f96f2e49d742f178a37d5e40f9627
13, 1.5147058823529411, 8.58252427184466, e41a28e864b1a86e8ff425f3c0d53c061ac3cce0
14, 1.5538461538461539, 9.009900990099009, f6734e62bd1dbdd4e803d81e940ab6bb64603068
16, 1.8181818181818181, 8.8, 0c2221ce0da127c7ea698be4c1bf43ceec4bd7d8
18, 2.02, 8.910891089108912, aee42b4e07f68a36b1a2bd7c527d753910171cc1
20, 2.0816326530612246, 9.607843137254902, 71ff254c91d9bea2fa9b3c941826176087bc3792
22, 2.380952380952381, 9.24, 8c2132e16796a291c97fa103ec1332eac0e32138
25, 2.7777777777777777, 9, 87fdc743cdad242cbd2d66c209bd3a3e30b3fd9f
28, 3.4482758620689653, 8.12, 68fbb26c91c9924063175abf93148e6a65760a3e
32, 3.2903225806451615, 9.72549019607843, 42493fd0fbd1edf9e2c10f443070d9cae63b12ea
35, 3.9615384615384617, 8.83495145631068, 7999b062e112d18d05a6b778f257067e96aa6f29
40, 4.590909090909091, 8.712871287128714, 0b349e719fe3dce2fb16fdbd4e4081866a6c25b0
