iterations (N), time (ms), iterations/ms (ops/ms), hash
1, 0.10330578512396695, 9.68, 3816b2a39e009724310a2e3b936bf402b252fcd3
2, 0.11001100110011001, 18.18, 06ba99a17903eb031ad3957dcb58c59106f9c548
3, 0.15060240963855423, 19.92, 80ee36676c44a2df6bae853c55b7d9c65d896f33
4, 0.2032520325203252, 19.68, 2e58a118f7ea736f5dc53c584b5bd28c3cbda2d9
5, 0.22624434389140272, 22.1, deb8ae696061331406503428922b589a4f887e88
6, 0.32051282051282054, 18.72, 1e9f4b726b895d5e1cb595b81b904fc499d7349f
7, 0.30864197530864196, 22.68, 00904b826673a9ccacebe5a53c9100c38d51e2e4
8, 0.3472222222222222, 23.04, b2daa520bc809c2bafaa619903f7b22c4c24bdd8
9, 0.3875968992248062, 23.22, 8d655a0a94461a9decf9a277404992e46dd0fe70
10, 0.46511627906976744, 21.5, 84816378aa1af4a0f81972b881256b3f9e38bd5e
11, 0.5555555555555556, 19.8, 1ffd34f7c55f96f2e49d742f178a37d5e40f9627
13, 0.5494505494505495, 23.66, e41a28e864b1a86e8ff425f3c0d53c061ac3cce0
14, 0.591715976331361, 23.66, f6734e62bd1dbdd4e803d81e940ab6bb64603068
16, 0.6711409395973155, 23.84, 0c2221ce0da127c7ea698be4c1bf43ceec4bd7d8
18, 0.7518796992481203, 23.94, aee42b4e07f68a36b1a2bd7c527d753910171cc1
20, 0.8333333333333334, 24, 71ff254c91d9bea2fa9b3c941826176087bc3792
22, 0.9090909090909091, 24.2, 8c2132e16796a291c97fa103ec1332eac0e32138
25, 1.0416666666666667, 24, 87fdc743cdad242cbd2d66c209bd3a3e30b3fd9f
28, 1.36986301369863, 20.44, 68fbb26c91c9924063175abf93148e6a65760a3e
32, 1.3157894736842106, 24.32, 42493fd0fbd1edf9e2c10f443070d9cae63b12ea
35, 1.4492753623188406, 24.15, 7999b062e112d18d05a6b778f257067e96aa6f29
40, 1.6290322580645162, 24.554455445544555, 0b349e719fe3dce2fb16fdbd4e4081866a6c25b0
45, 1.8518518518518519, 24.3, 410f8dbc337031d4a54acb89854038bf7660838d
50, 2.061224489795918, 24.257425742574256, 2467dd6e3bc523715500941611b6ad82084e46e5
56, 2.2954545454545454, 24.396039603960396, 2f27391f845c79ad945b7648cb03b79f982e2b3b
63, 2.5641025641025643, 24.57, 736e0d39b39532560b8e11a802a5fb1521d14a1f
71, 2.8857142857142857, 24.603960396039604, fc66ffcd57b37938f579eb200ae6ceee197be8fa
79, 3.225806451612903, 24.49, 42149853d339a7e760398f4c581c21549e319be6
89, 3.607142857142857, 24.673267326732674, 8c6817376d03945defff44c541e4076e03e0e9a7
100, 4.08, 24.50980392156863, ce34f4992b0bfcdf6f3a9297341e9bd60871c98f
112, 4.809523809523809, 23.287128712871286, 2b55e278e74b3bf252f92b85fb8b3c708c482e43
126, 5.05, 24.95049504950495, 003e97b93a12d56b21486ccd5805632ea027ddde
141, 5.666666666666667, 24.88235294117647, 7de6f9f69bdf448edcd4d406335fcc5e4ed1ccad
158, 6.375, 24.784313725490197, dcc0419ed1ee9610539f4313530afb390f59ca84
178, 7.142857142857143, 24.92, c4adb202462cd5c803076914977c131dcdbc6aad
200, 9.454545454545455, 21.153846153846153, 415e67d2058dc2effc36eef1827d0a941e407e20
224, 9.090909090909092, 24.64, 2530249103053a371a6c70c3eceb0b1d044b6927
251, 10.1, 24.85148514851485, 1e5f40d90e33412a2a36d690694171fbd1c0c0fb
282, 11.444444444444445, 24.640776699029125, 8bc5ab1a028af1279d73d7321670ebaaeb1cb906
316, 12.75, 24.784313725490197, e84bf6345cba2b796593a690ac35be42a6d6126b
355, 14.428571428571429, 24.603960396039604, a0737051197d8130a9f63504acf3292a702252ad
398, 16.142857142857142, 24.654867256637168, 25eb004a347d3b84dd7a684302afa88dd2ebda6e
447, 18.333333333333332, 24.381818181818183, 6244950d4e04610de84a32bdf9d142892f089a4a
501, 20.4, 24.558823529411764, aa18ec6a7d149204d53ce723f60c1819b3a75c83
562, 22.6, 24.86725663716814, 679e606d1d9655781c491ebf1dd50b93af9b704b
631, 26, 24.26923076923077, f4012f0c9cda1ed52dff13fb21267ef55d6e4370
708, 28.5, 24.842105263157894, dc0177eee87e272a26823c8b5920859f03b1fb7d
794, 32, 24.8125, 15affa46d1b0acfb4825a7d402a65de34e074079
891, 36, 24.75, 9ff969ab140fb3b881c5574bbeb0dda5f0bf78a5
1000, 40.333333333333336, 24.793388429752067, 3ce1d66380579b49cd94bfcd66d132269c972375
1122, 45, 24.933333333333334, b23430a6109f713b12aefd8da86ebbdbaae3eba6
1259, 51, 24.686274509803923, 436b33952a2254eb7009b897fc7ef0a797899edd
1413, 57, 24.789473684210527, 4a7e378079d16a70cf31e83d5effcf1caef74b8f
1585, 64, 24.765625, ffc067c405aae93f634628deaf8b91866df177e2
1778, 71.5, 24.867132867132867, 9469151421801f5e77d8816a3d30af0f910862d1
1995, 80.5, 24.782608695652176, 13c0a88aa1027ea87cc29c3a6d16875cd5802bd5
2239, 90, 24.877777777777776, 90b1de6d700c70a6dcc87482adb3d0925b70fcb6
2512, 101, 24.871287128712872, acf857f64c2415f0809e8fba6f95dd1342c46346
2818, 114, 24.719298245614034, 4b97f1ef59785aa803954daf23bf222387766a7d
3162, 128, 24.703125, 3a78d2e88993b94abe3f9a2a294e4d6e322d7b37
3548, 142, 24.985915492957748, 27b45cdef3ee17856fe868084107fdd13f658d53
3981, 160, 24.88125, 67d71bc79f5f7489ed7ca070967ebdac0b983b98
4467, 196, 22.790816326530614, 5fe212ea22fca330b727386fac79c77229898a35
5012, 202, 24.81188118811881, 3e6fdf02be2447344a187d520cb02904bd686702
5623, 227, 24.770925110132158, fa175a2b05b754c4ca21d48e1b1a31395e052cc8
6310, 254, 24.84251968503937, 39c55dd49b3413a2edb3c6f2e53cfd82e0bad788
7079, 285, 24.83859649122807, a34f8372511cebfe21c2b42512dce2e8e7a4b4e3
7943, 321, 24.74454828660436, 16cae11406c41b0856b795a161d8155138924403
8913, 359, 24.827298050139277, d37bbb2b3b0b2c92e2febe8b552989ea1db14164
10000, 414, 24.154589371980677, 8f9695dd323ed182159970aa1174981ce68c24d8
