iterations (N), time (ms), iterations/ms (ops/ms), hash
1, 0.047664442326024785, 20.98, 9c8ad1ca81f4e7ee4d350ab3d4477f929ea78489ecb481737adb940021593dcd
2, 0.03765060240963856, 53.12, aa714b5ccce7a3d0d669bd57b215feb33a9bb89af41355a555956d28f07ade0c
3, 0.04091653027823241, 73.32, d23ba5156a496d62f3381ac4af2e1eb59d05a8f93b60d5103c27c3d1f3443b64
4, 0.047058823529411764, 85, d7d36474ec4a23dcd144c9e6d92f4769b934f171cafc73b9f3e6de5dd97e7a47
5, 0.050226017076845805, 99.55, b62cae25883326b44f0a28a176f4b847c165adb34578be40a0cc52fd3b5fcd61
6, 0.055401662049861494, 108.3, 26718a0cce148c729ccf082e50f66ed815fea2cf026eb3661f7dec079ae82aed
7, 0.06006006006006006, 116.55, 4cd85534ce549a7c3229efbb16d18fcb53255f6c2d44f77973207b1e1aee84da
8, 0.06527415143603134, 122.56, a3078912494b94db8f91278a1a995ddfd32e8b0079df47bffd38ee92be61153a
9, 0.06963788300835655, 129.24, cac818ea3c3b6374c6c68631d5e0327dbd21a83335631ded93958c67653a7251
10, 0.07598784194528875, 131.6, 74ca8a57937cedbfbb809f825fe8d09a6b635654dd25467909ad3975a5e2b3a6
11, 0.08375209380234507, 131.34, bd7ee34d2f538180209334f666227da2173aa5e2ae964377f7df0186fedfed76
13, 0.09057971014492754, 143.52, 52900a02a00ccaf68229c709088a70c490aa221edbdbc1fd58c2cd53366c2dc3
14, 0.0942507068803016, 148.54, 6373664e19cc530885b1bf54156812930892a80198f038f1d87fa6e879410052
16, 0.1040582726326743, 153.76, 61db07638b939bf73f59e6f04225c14b5640e08e1ba284c8229df13903ec9511
18, 0.11376564277588168, 158.22, d904ffbeb387ca29d37786b6e39669edba4f25ac131d1a336dc3b2663bcee164
20, 0.12360939431396786, 161.8, 14e1f45b73e7a715b3e46e75cfaa9e804209f275975692e58556f4bafd6bf40d
22, 0.13315579227696406, 165.22, ca6dc17f5dbec7a2bbf79ffe779348715c704d48f355ce1e52ab4292d6d21951
25, 0.14814814814814814, 168.75, 06b83bd434025ca774ddbaebaaf747c45ba08e9f2b78b6b0580205a730497116
28, 0.16420361247947454, 170.52, 6941dcaad21ba3411d9bb6cf84fba6fe709343c68ae10af8e133bb0f1d364d60
32, 0.18214936247723132, 175.68, 33840d24f044d1ef7172f492fa47889730fc3edbf9a7d8a5437fd73c4ae7010f
35, 0.19607843137254902, 178.5, 6b0cc73244c0caad6cfcfdbaca46738f2e7fc9a59758278911a41aadc2d7afe6
40, 0.22075055187637968, 181.2, 01782a82a1f426d404dbfa6e62ecf3f743221858f96436b21e3ab5522cc47529
45, 0.24449877750611246, 184.05, f18db177323930ea069690910970a35bc02cecf02ef63f290d57b262c3e6a260
50, 0.2824858757062147, 177, b31d1926f776f6a9e20c4bf3aa8a5a89fc1a9011ff3b8304b520efc9f94d6e7c
56, 0.31446540880503143, 178.08, b68335a60889250126c63466245f4f9bcab7605a5da0398edfde5b8347961bdf
63, 0.3436426116838488, 183.33, aee3b267ecfbd8b2fea3755779dfb9d07f425ba89513e88040115b9ac6d82442
71, 0.37037037037037035, 191.7, 962e181ace5bf897b882ce9e4906415ed43189ffa98dafd418d67a4cab13f40b
79, 0.40816326530612246, 193.55, 6c32ebf1d67a1354069ae9a9f2b171ca90ee4612476ac51fd4c15c4a11197d41
89, 0.45662100456621, 194.91, 4662561b793fdc70d88c2f4cd776d7adcacd6bb88f01e731c4b7c0c51f90dd7c
100, 0.5128205128205128, 195, cbd6741b6a45ab97de5d960a5973c7d296092e7aa88894956e49ca4e15abdc55
112, 0.5681818181818182, 197.12, 86aee084a44c66f0282c9adceb50e907e306ef30526bc02d6675012050263727
126, 0.6329113924050633, 199.08, dbbe9e04c71b996218c3c555f1555d7f3c10bc34f95de92595a57085494349fd
141, 0.7352941176470589, 191.76, 67ed6d76bfbd012ca8461b3f013ed9205ee4a32e464697244fac1c1cbc04a6e3
158, 0.7874015748031497, 200.66, ca34ef878788bc3a009220694122a1af85e6bf243e50fd6da55085db9aabbc17
178, 0.8771929824561403, 202.92, 5ef51466b5700c4606705b3ca67d6b6ffe8ad0058adef1604f3b5e70c53b1f4b
200, 0.9900990099009901, 202, 83970021f4c0f977ab68c0d2d257083113f5bebaa0c13c52a350ec7a4beec5fa
224, 1.10989010989011, 201.82178217821783, dd74ea91ae4997eb707753980ccaae6af390ca7c039616f8e9734e5741f1b31f
251, 1.2345679012345678, 203.31, 156c84e87ba77f679838bcb8e2c395bd8128629398b28165f8dfc6f90edc6452
282, 1.36986301369863, 205.86, ba09b705ea0d490bf787630ae12ca1e8807db7e8b4be052acd99077ad4447791
316, 1.5538461538461539, 203.36633663366337, 0e4ee2b3c707c3092f489fcf4250f58098212bd42bf583b53155546a3e5996c4
355, 1.7241379310344827, 205.9, 85788cce5eda083dc6a5d3e546f128c456ce8a61e53b5634f466d6420290d9ca
398, 1.9230769230769231, 206.96, cff10a996b3ea507c28f37e11f6d771ad269d196c19db4260d6600b7da790ac5
447, 2.1739130434782608, 205.62, 066ad0a88209130c84958dcf36304582836eaaad9d99003e43463112cd096537
501, 2.4390243902439024, 205.41, 67450b08746ef85917839e6c0dc6bd347a89e53c478408933d9f4cbffb0852b0
562, 2.7027027027027026, 207.94, 346e0edb6914a4a784acd210acda43d0537b16141620cc543e2815351b8ae2bc
631, 3.0303030303030303, 208.23, 26bb461f57fc45faff154296251d856605e80d7f38589f2db1d1dbf8b7a4967c
708, 3.4, 208.23529411764707, e83beae80426a25b6eb114e603cfe69f9b958e1fc69c996c4ee07a2d22cfbae5
794, 3.8461538461538463, 206.44, 5d8ac06fd189787485eee3d069036fd7260f298f81845c68d54537dad315f68b
891, 4.25, 209.64705882352942, 01aacd53f12c3e640186e3428be13c31dcb3f6dcf4cd9a1aa20a09630726a116
1000, 4.904761904761905, 203.88349514563106, 2a1e13d524e37a3fa96d09f25a3dd882be0328faecc9f9d6769ca556144ad48d
1122, 5.368421052631579, 209, c396ecbbb164bccd9fd503ff8e987d2be36ffaeba87fa3429fdfb0073f069252
1259, 6.0588235294117645, 207.79611650485438, e0540206f9fedfe69c3aa371e3ec58222be66f1dd0770d4997d029c40eb56326
1413, 6.733333333333333, 209.85148514851485, cdc98ed9669bfbaacbecfb12f7f61a84b009b19830c4ea6ce57dde8172cc136f
1585, 7.642857142857143, 207.38317757009347, e2cbfa859c70ea98f2d745d3970655ebea2782c00c4a94aa034e584f0c6d5baa
1778, 8.5, 209.1764705882353, 5091d3f0b275216ba92309398d40ad44998f6bcd532ce599c1b56e15f0eba8b8
1995, 9.545454545454545, 209, ca6785add8c2b5372ed18735f68ba891fd1284cfd36bfc18c384c9f4bba79990
2239, 10.8, 207.3148148148148, 464a8be97cd4fb99c5e639b265244a6e341d12229336da8f12f6babec3e1d8ea
2512, 12.11111111111111, 207.41284403669724, 16a82e0fb4335bc8b3fd968ff691fa331f6ea6ac9a32b3d42e8c9630d00aa0c8
2818, 13.375, 210.69158878504672, 6f29035a2ba7e43b93f3474bb00fe49992c181379355c5b6634e2a3b2d36ee6e
